DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Dorgone,1,,Win,,,,4.4,L,0,-1,327.5,4353.7,7.50%,327.50%,"$32,751.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Kinka Bay,1.5,,Win,,,,4.6,L,0,-1.5,326,4355.2,7.50%,326.00%,"$32,601.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Manhattahn Drive,3,,Win,,,,2.8,L,0,-3,323,4358.2,7.40%,323.00%,"$32,301.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-17,Luke Murrell,,Mon,,Australia,Horse Racing,,Cessnock,,,Sorry Im Awesome,0.5,,Win,,,,5,L,0,-0.5,322.5,4358.7,7.40%,322.50%,"$32,251.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Forunette,1,,Win,,,,7,L,0,-1,321.5,4359.7,7.40%,321.50%,"$32,151.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,La Bella Chica,2.5,,Win,,,,3,W,7.5,5,326.5,4362.2,7.50%,326.50%,"$32,651.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Sacred Edge,0.5,,Win,,,,7,L,0,-0.5,326,4362.7,7.50%,326.00%,"$32,601.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Sebentheavenchic,1,,Win,,,,9,L,0,-1,325,4363.7,7.40%,325.00%,"$32,501.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Tinekr Dan,1,,Win,,,,9,L,0,-1,324,4364.7,7.40%,324.00%,"$32,401.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-17,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Tinekr Dan,1,,Place,,,,3,L,0,-1,323,4365.7,7.40%,323.00%,"$32,301.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
